"X (cm)","Y (cm)"
"42.828375","0.7079925"
"43.1310625","0.76736"
"43.42275","0.833668125"
"43.703625","0.914524375"
"43.9931875","0.9899875"
"44.2876875","1.06853875"
"44.56125","1.156538125"
"44.83925","1.251453125"
"45.120125","1.3435575"
"45.3876875","1.446039375"
"45.6531875","1.557629375"
"45.913875","1.675250625"
"46.1665","1.79430125"
"46.4121875","1.929465"
"46.664625","2.06353875"
"46.9009375","2.203669375"
"47.14","2.358644375"
"47.363","2.5147675"
"47.585","2.672228125"
"47.8006875","2.83717875"
"48.0028125","3.009455625"
"48.1995","3.185494375"
"48.3861875","3.365613125"
"48.5615625","3.5544"
"48.73225","3.746126875"
"48.8915","3.9421675"
"49.0464375","4.143756875"
"49.1788125","4.357671875"
"49.3120625","4.57094875"
"49.429375","4.790321875"
"49.54625","5.016286875"
"49.6564375","5.245815625"
"49.75025","5.48441625"
"49.832125","5.72573875"
"49.9009375","5.964626875"
"49.9575","6.205755625"
"49.997","6.4470375"
"50.0125625","6.6892875"
"50.0203125","6.92692375"
"50.017375","7.1638925"
"49.9929375","7.404495"
"49.9619375","7.642124375"
"49.9183125","7.880435625"
"49.858875","8.1145225"
"49.7876875","8.345761875"
"49.6986875","8.573423125"
"49.618","8.804093125"
"49.551375","9.031004375"
"49.513625","9.260823125"
"49.4491875","9.486585625"
"49.3733125","9.712760625"
"49.2861875","9.933923125"
"49.174875","10.148979375"
"49.0470625","10.359341875"
"48.9119375","10.559666875"
"46.108625","12.809129375"
